,name,c3,no_commits,month_diff,first_commit,last_commit
0,openstack-fedora-specs,43.0,172,4,2011-05-19,2011-09-05
1,gosa-openstack,1.0,1,1,2011-05-24,2011-05-24
2,openstack-utils,3.0,3,1,2011-05-26,2011-06-06
3,openstack-dashboard,52.17,313,6,2011-01-12,2011-06-20
4,keystone,207.6,1038,5,2011-04-14,2011-08-17
5,cloudpipe-image-auto-creation,0.75,3,4,2011-09-15,2011-12-26
6,osagent,4.0,4,1,2011-12-19,2011-12-23
7,tempest,132.03,4753,36,2011-08-26,2014-08-18
8,fuelweb,274.11,5208,19,2012-05-10,2013-11-29
9,openstack-lbaas,166.29,1164,7,2012-03-16,2012-10-01
10,puppetlabs-openstack,19.06,343,18,2011-06-17,2012-11-26
11,puppetlabs-apt,6.52,176,27,2010-04-27,2012-07-03
12,puppet-concat,2.18,61,28,2010-05-06,2012-08-14
13,puppet-galera,13.0,13,1,2011-11-01,2011-11-15
