,name,pp_percentage
323,deb-python-congressclient,0.0
324,deb-python-cotyledon,0.0
325,deb-python-couleur,0.0
326,deb-python-crank,0.0
327,deb-python-croniter,0.0
328,deb-python-csscompressor,0.0
329,deb-python-cursive,0.0
330,deb-python-daemonize,0.0
331,deb-python-dcos,0.0
332,deb-python-ddt,0.0
333,deb-python-debtcollector,0.0
334,deb-python-designateclient,0.0
335,deb-python-dib-utils,0.0
336,deb-python-diskimage-builder,0.0
337,deb-python-django-appconf,0.0
338,deb-python-django-babel,0.0
339,deb-python-django-bootstrap-form,0.0
340,deb-python-django-compressor,0.0
341,deb-python-django-discover-runner,0.0
342,deb-python-django-formtools,0.0
343,deb-python-django-openstack-auth,0.0
344,deb-python-django-overextends,0.0
345,deb-python-django-pyscss,0.0
346,deb-python-doc8,0.0
347,deb-python-dogpile.cache,0.0
348,deb-python-dogpile.core,0.0
349,deb-python-editor,0.0
350,deb-python-eventlet,0.0
351,deb-python-extras,0.0
352,deb-python-falcon,0.0
353,deb-python-fasteners,0.0
354,deb-python-fixtures,0.0
355,deb-python-frozendict,0.0
356,deb-python-fuelclient,0.0
357,deb-python-funcsigs,0.0
358,deb-python-functools32,0.0
359,deb-python-futurist,0.0
360,deb-python-gabbi,0.0
361,deb-python-glance-store,0.0
362,deb-python-glanceclient,0.0
363,deb-python-gnocchiclient,0.0
364,deb-python-greenio,0.0
365,deb-python-hacking,0.0
366,deb-python-happybase,0.0
367,deb-python-heatclient,0.0
368,deb-python-hplefthandclient,0.0
369,deb-python-httpretty,0.0
370,deb-python-ironic-inspector-client,0.0
371,deb-python-ironic-lib,0.0
372,deb-python-ironicclient,0.0
373,deb-python-jingo,0.0
374,deb-python-json-patch,0.0
375,deb-python-json-pointer,0.0
376,deb-python-jsonpath-rw,0.0
377,deb-python-jsonpath-rw-ext,0.0
378,deb-python-jsonrpclib,0.0
379,deb-python-jsonschema,0.0
380,deb-python-k8sclient,0.0
381,deb-python-kafka,0.0
382,deb-python-keystoneauth1,0.0
383,deb-python-keystoneclient,0.0
384,deb-python-keystonemiddleware,0.0
385,deb-python-kmip,0.0
386,deb-python-ldappool,0.0
387,deb-python-lesscpy,0.0
388,deb-python-linecache2,0.0
389,deb-python-magnumclient,0.0
390,deb-python-manilaclient,0.0
391,deb-python-memcache,0.0
392,deb-python-microversion-parse,0.0
393,deb-python-misaka,0.0
394,deb-python-mistralclient,0.0
395,deb-python-monascaclient,0.0
396,deb-python-monotonic,0.0
397,deb-python-mox3,0.0
398,deb-python-multi-key-dict,0.0
399,deb-python-muranoclient,0.0
400,deb-python-neutron-lib,0.0
401,deb-python-neutronclient,0.0
402,deb-python-nose-exclude,0.0
403,deb-python-nose-parameterized,0.0
404,deb-python-nose-timer,0.0
405,deb-python-nosehtmloutput,0.0
406,deb-python-novaclient,0.0
407,deb-python-oauth2client,0.0
408,deb-python-openstackclient,0.0
409,deb-python-openstackdocstheme,0.0
410,deb-python-openstacksdk,0.0
411,deb-python-os-api-ref,0.0
412,deb-python-os-apply-config,0.0
413,deb-python-os-brick,0.0
414,deb-python-os-client-config,0.0
415,deb-python-os-cloud-config,0.0
416,deb-python-os-collect-config,0.0
417,deb-python-os-net-config,0.0
418,deb-python-os-refresh-config,0.0
419,deb-python-os-testr,0.0
420,deb-python-os-vif,0.0
421,deb-python-os-win,0.0
422,deb-python-osc-lib,0.0
423,deb-python-oslo.cache,0.0
424,deb-python-oslo.concurrency,0.0
425,deb-python-oslo.config,0.0
426,deb-python-oslo.context,0.0
427,deb-python-oslo.db,0.0
428,deb-python-oslo.i18n,0.0
429,deb-python-oslo.log,0.0
430,deb-python-oslo.messaging,0.0
431,deb-python-oslo.middleware,0.0
432,deb-python-oslo.policy,0.0
433,deb-python-oslo.privsep,0.0
434,deb-python-oslo.reports,0.0
435,deb-python-oslo.rootwrap,0.0
436,deb-python-oslo.serialization,0.0
437,deb-python-oslo.service,0.0
438,deb-python-oslo.utils,0.0
439,deb-python-oslo.versionedobjects,0.0
440,deb-python-oslo.vmware,0.0
441,deb-python-oslotest,0.0
442,deb-python-osprofiler,0.0
443,deb-python-pager,0.0
444,deb-python-pbr,0.0
445,deb-python-pecan,0.0
446,deb-python-pika-pool,0.0
447,deb-python-pint,0.0
448,deb-python-positional,0.0
449,deb-python-proliantutils,0.0
450,deb-python-pulp,0.0
451,deb-python-pycadf,0.0
452,deb-python-pydot-ng,0.0
453,deb-python-pydotplus,0.0
454,deb-python-pyeclib,0.0
455,deb-python-pyghmi,0.0
456,deb-python-pygit2,0.0
457,deb-python-pykmip,0.0
458,deb-python-pyldap,0.0
459,deb-python-pymemcache,0.0
460,deb-python-pymysql,0.0
461,deb-python-pyngus,0.0
462,deb-python-pysaml2,0.0
463,deb-python-pytimeparse,0.0
464,deb-python-pyvmomi,0.0
465,deb-python-quantumclient,0.0
466,deb-python-rcssmin,0.0
467,deb-python-rednose,0.0
468,deb-python-reno,0.0
469,deb-python-requestbuilder,0.0
470,deb-python-requests-kerberos,0.0
471,deb-python-requests-mock,0.0
472,deb-python-requests-unixsocket,0.0
473,deb-python-requestsexceptions,0.0
474,deb-python-retrying,0.0
475,deb-python-rfc3986,0.0
476,deb-python-rjsmin,0.0
477,deb-python-rtslib-fb,0.0
478,deb-python-saharaclient,0.0
479,deb-python-scciclient,0.0
480,deb-python-seamicroclient,0.0
481,deb-python-semantic-version,0.0
482,deb-python-semver,0.0
483,deb-python-senlinclient,0.0
484,deb-python-shotgun,0.0
485,deb-python-sqlalchemy-utils,0.0
486,deb-python-steadymark,0.0
487,deb-python-swiftclient,0.0
488,deb-python-tackerclient,0.0
489,deb-python-taskflow,0.0
490,deb-python-testtools,0.0
491,deb-python-toml,0.0
492,deb-python-tooz,0.0
493,deb-python-tosca-parser,0.0
494,deb-python-traceback2,0.0
495,deb-python-trollius,0.0
496,deb-python-troveclient,0.0
497,deb-python-tuskarclient,0.0
