,name,c2,files,pp_files,forked,c3,no_commits,month_diff,first_commit,last_commit
111,fuel-plugin-vxlan-vlan-7,0.12,16,2,0,2.0,26,13,2016-04-11,2017-05-02
112,fuel-plugin-docs,0.0,29,0,0,6.33,57,9,2016-04-01,2016-12-15
113,mos-coverage,0.0,1,0,0,4.0,4,1,2016-04-29,2016-05-04
114,northshore,0.0,14802,0,0,73.75,295,4,2016-05-20,2016-09-03
115,ceph,0.0,3527,0,0,313.75,58044,185,2001-04-29,2016-09-28
116,teuthology,0.0,262,0,0,68.18,4432,65,2011-05-18,2016-09-26
117,ceph-cm-ansible,0.0,322,0,0,50.0,950,19,2015-03-13,2016-09-23
118,ceph-qa-suite,0.0,1500,0,0,88.05,5547,63,2011-05-18,2016-07-29
119,fuel-plugin-lcm,0.3023,129,39,0,3.0,3,1,2016-06-28,2016-06-30
120,fuel-plugin-lcm-control-repo,0.0,0,0,1,0.0,0,1,0,0
121,ceph-monitoring,0.0,54,0,0,3.76,173,46,2015-08-05,2019-05-25
122,mira-ceph-ansible,0.0,9,0,0,0.29,4,14,2016-07-08,2017-09-07
123,ceph-lcm,0.0,989,0,0,105.08,1261,12,2016-07-13,2017-07-11
124,k8s-AppController,0.0,232,0,0,45.27,498,11,2016-07-28,2017-06-09
125,CloudFerry,0.0,437,0,0,58.76,1998,34,2014-06-26,2017-04-11
126,kostyor-cli,0.0,27,0,0,7.82,86,11,2016-06-13,2017-04-24
127,virtlet,0.0,536,0,0,51.23,2049,40,2016-08-24,2019-12-04
128,k8s-devbox,0.0,30,0,0,22.0,66,3,2016-07-15,2016-10-05
129,ccp-pipeline-libs,0.0,7,0,0,21.67,130,6,2016-09-06,2017-02-10
130,ccp-docker-jenkins,0.0,30,0,0,11.2,448,40,2014-07-09,2017-10-11
131,ccp-docker-gerrit,0.0,11,0,0,6.21,205,33,2015-01-12,2017-09-19
132,stepler,0.0,495,0,0,47.55,1379,29,2016-09-23,2019-02-11
133,ccp-docker-opencontrail,0.0,15,0,0,7.33,22,3,2016-10-10,2016-12-28
134,mk-lab-salt-model,0.0,421,0,0,143.6,718,5,2016-09-29,2017-01-31
135,statkube,0.0,33,0,0,18.0,36,2,2016-10-18,2016-12-08
136,tcp-qa,0.0,454,0,0,55.46,2052,37,2016-10-18,2019-11-14
137,k8s-externalipcontroller,0.0,72,0,0,19.62,255,13,2016-10-18,2017-10-24
138,rabbitmq-autocluster,0.0,55,0,0,10.08,252,25,2014-10-06,2016-10-14
139,compliance,0.0,1018,0,0,6.03,199,33,2016-11-04,2019-07-19
140,kostyor-openstack-ansible,0.0,25,0,0,6.0,24,4,2016-11-15,2017-03-06
141,rpc_monitor,0.0,16,0,0,1.0,1,1,2017-01-17,2017-01-17
142,k8s-daemonupgradecontroller,0.0,1,0,0,4.14,29,7,2016-11-23,2017-06-02
